season,week,regime,n_active,k_elim,has_elim,share_entropy,share_entropy_norm,share_hhi,status,hit_set,top1,elim_rank,margin
13,8,percent,5,1,1,1.3767661394647044,0.8554328991681915,0.31588283294557934,ok,1,1.0,1.0,0.00991315059092851
13,9,percent,4,1,1,1.1293363796702067,0.8146439972228514,0.4022888076786214,ok,1,1.0,1.0,0.059664481289550486
13,10,percent,3,0,0,0.8786307454995805,0.7997641702740997,0.49195650775344973,ok,1,,,
14,1,percent,12,0,0,2.283666601328869,0.9190150469128086,0.12172244345282725,ok,1,,,
14,2,percent,12,1,1,2.283104476344035,0.9187888311775487,0.1223932625753911,ok,1,1.0,1.0,1.0000000000287557e-06
14,3,percent,11,1,1,2.1950865621641094,0.915422198402526,0.13198024886861107,ok,1,1.0,1.0,0.0023590483326250966
14,4,percent,10,1,1,2.111590286175965,0.9170520093267298,0.14221231220044736,ok,1,1.0,1.0,0.01382963169994575
14,5,percent,9,1,1,2.0229890808214552,0.920702008200729,0.15370647648229596,ok,1,1.0,1.0,9.99999999945489e-07
14,6,percent,8,1,1,1.9160629708199635,0.921431515344312,0.1653978379368941,ok,1,1.0,1.0,9.99999999945489e-07
14,7,percent,7,1,1,1.7871927836704244,0.9184354090234116,0.18414592910572408,ok,1,1.0,1.0,0.027842437903030592
14,8,percent,6,2,1,1.6441590632011036,0.9176226449130797,0.21289310851282392,ok,1,0.0,1.5,1.0000000000287557e-06
14,9,percent,4,1,1,1.2891615124029672,0.9299334604243383,0.2985485467016438,ok,1,1.0,1.0,0.05737805673854951
14,10,percent,3,0,0,1.0890725712102913,0.9913165749589568,0.3397375753199388,ok,1,,,
15,1,percent,13,1,1,2.4043663544501452,0.9373933046497588,0.105774904152058,ok,1,1.0,1.0,9.999999999177334e-07
15,2,percent,12,1,1,2.297274285633603,0.9244911819241156,0.11946928816309822,ok,1,1.0,1.0,9.99999999945489e-07
15,3,percent,11,2,1,2.2113652283028262,0.922210929471552,0.1278542179028259,ok,1,0.0,1.5,9.999999999732445e-07
15,4,percent,9,1,1,2.0586148983344117,0.9369160164912002,0.14080158947684038,ok,1,1.0,1.0,9.999999999177334e-07
15,5,percent,8,0,0,1.956463712165455,0.9408601650734381,0.15218541721053835,ok,1,,,
15,6,percent,8,1,1,1.9260356545059754,0.9262273624437,0.15969696559124827,ok,1,1.0,1.0,0.009841039287166231
15,7,percent,7,0,0,1.796120297389547,0.9230232435251519,0.18526003718782397,ok,1,,,
15,8,percent,7,2,1,1.7180332845249413,0.8828944570534256,0.2111829292784112,ok,1,0.0,1.5,0.00016427767351578915
15,9,percent,5,2,1,1.3615013265342313,0.8459483376249713,0.3144839774282956,ok,1,0.0,1.5,0.102622773011662
