season,week,celebrity_name,s_share_mean,s_share_std,s_share_p10,s_share_p50,s_share_p90
18,5,Diana Nyad,0.0,0.0,0.0,0.0,0.0
18,5,Charlie White,0.09177013117631357,0.01729143340202784,0.08100865345019863,0.08221602234560749,0.11017489596699337
18,5,Amy Purdy,0.13435009857624827,0.008387988579414614,0.12583748058157307,0.13328811112307715,0.14371230653346034
18,5,Meryl Davis,0.1590340178276753,0.01697754946928075,0.14039449211039437,0.16103944204309545,0.17606920417262004
18,5,Drew Carey,0.09054901791685659,0.016893474942072075,0.07623917913642088,0.08533673248016216,0.10902868504664784
18,5,Cody Simpson,0.09987112427473135,0.012462615683347816,0.08606807582706393,0.10109852651525532,0.11269225092997963
18,5,NeNe Leakes,0.11361904038663072,0.012217721472738915,0.10037030133230661,0.1139010791269652,0.12664214844868724
18,6,Billy Dee Williams,0.0,0.0,0.0,0.0,0.0
18,6,Danica McKellar,0.09111683584174848,0.003073469602846926,0.08782159689641751,0.09186734938986471,0.09381166394858648
18,6,James Maslow,0.08754291967145367,0.0066051776987978384,0.08057810525303781,0.08773082501496207,0.09435740981506278
18,6,Candace Cameron Bure,0.1325346107399485,0.005654570885692452,0.12820134172527273,0.13030496277576648,0.13865159812596983
18,6,Sean Avery,0.0,0.0,0.0,0.0,0.0
18,6,Diana Nyad,0.0,0.0,0.0,0.0,0.0
18,6,Charlie White,0.09188559297156618,0.016626333639452016,0.08080612846223116,0.08338075616296672,0.10976892692778077
18,6,Amy Purdy,0.134991630360698,0.010831233002817376,0.12398545084927966,0.13382014842907455,0.14693499541741514
18,6,Meryl Davis,0.16023077303775363,0.020945908249532595,0.13753940180533228,0.16223247321198417,0.18132078413079059
18,6,Drew Carey,0.09056015765256312,0.016855421090160524,0.07627862654628507,0.08537899642993843,0.1089866177369409
18,6,Cody Simpson,0.09747025484093619,0.004419876956204144,0.0924121706346371,0.09899637805037034,0.10130744047968797
18,6,NeNe Leakes,0.11366722488333231,0.011882776432008869,0.10075584723091288,0.1140020644380279,0.12631073089199524
18,7,Billy Dee Williams,0.0,0.0,0.0,0.0,0.0
18,7,Danica McKellar,0.10327648774399956,0.003179460410207991,0.10025658870281239,0.10281667465542968,0.1066642372560426
18,7,James Maslow,0.0996652545582849,0.0063298327739016984,0.09267890091551775,0.10073036778950886,0.10579951761607286
18,7,Candace Cameron Bure,0.14474313172928405,0.005424649348723681,0.13941577806693456,0.14454711598211228,0.15022729798937093
18,7,Sean Avery,0.0,0.0,0.0,0.0,0.0
18,7,Diana Nyad,0.0,0.0,0.0,0.0,0.0
18,7,Charlie White,0.10397312238360024,0.015724653249367455,0.09285724811753712,0.09652175810560232,0.1210500880720617
18,7,Amy Purdy,0.14741809769830438,0.013102488185237567,0.13396662412608298,0.1463539134547001,0.16172091866540922
18,7,Meryl Davis,0.17305983131041677,0.02425945478136676,0.14714908260649812,0.17486077530902616,0.19752982481544795
18,7,Drew Carey,0.10224334448572212,0.02437375321871683,0.08006527184337042,0.09564419147194678,0.12970073953909408
18,7,Cody Simpson,0.0,0.0,0.0,0.0,0.0
18,7,NeNe Leakes,0.12562073009038802,0.011597221308033529,0.11312192564739794,0.12565542192509732,0.13809178106561062
18,8,Billy Dee Williams,0.0,0.0,0.0,0.0,0.0
18,8,Danica McKellar,0.11794921530520266,0.0033298812356637865,0.11432388504023508,0.11824803766090439,0.12133548768560885
18,8,James Maslow,0.11424189880262085,0.004281162133504769,0.11014549516143904,0.11356407772227106,0.11888055930808249
18,8,Candace Cameron Bure,0.15929746141873893,0.007419590565641729,0.1524189395253529,0.15779065904514133,0.16738142521100305
18,8,Sean Avery,0.0,0.0,0.0,0.0,0.0
