season,celebrity_name,wiki_title,pop_score,pop_score_end,pop_score_start,pop_score_delta,source,window_start,window_end
17,Jack Osbourne,Jack Osbourne,927,927,899,28,wikipedia_edits_cumulative,2013-09-01,2013-11-10
17,Keyshawn Johnson,Keyshawn Johnson,730,730,715,15,wikipedia_edits_cumulative,2013-09-01,2013-11-10
17,Leah Remini,Leah Remini,1441,1441,1383,58,wikipedia_edits_cumulative,2013-09-01,2013-11-10
17,"Nicole ""Snooki"" Polizzi",Snooki,1511,1511,1458,53,wikipedia_edits_cumulative,2013-09-01,2013-11-10
17,Valerie Harper,Valerie Harper,580,580,553,27,wikipedia_edits_cumulative,2013-09-01,2013-11-10
18,Amy Purdy,Amy Purdy,199,199,120,79,wikipedia_edits_cumulative,2014-03-01,2014-05-03
18,Billy Dee Williams,Billy Dee Williams,1070,1070,1047,23,wikipedia_edits_cumulative,2014-03-01,2014-05-03
18,Candace Cameron Bure,Candace Cameron Bure,1265,1265,1237,28,wikipedia_edits_cumulative,2014-03-01,2014-05-03
18,Charlie White,Charlie White (figure skater),829,829,798,31,wikipedia_edits_cumulative,2014-03-01,2014-05-03
18,Cody Simpson,Cody Simpson,1558,1558,1459,99,wikipedia_edits_cumulative,2014-03-01,2014-05-03
18,Danica McKellar,Danica McKellar,977,977,959,18,wikipedia_edits_cumulative,2014-03-01,2014-05-03
18,Diana Nyad,Diana Nyad,617,617,587,30,wikipedia_edits_cumulative,2014-03-01,2014-05-03
18,Drew Carey,Drew Carey,2513,2513,2487,26,wikipedia_edits_cumulative,2014-03-01,2014-05-03
18,James Maslow,James Maslow,2150,2150,2050,100,wikipedia_edits_cumulative,2014-03-01,2014-05-03
18,Meryl Davis,Meryl Davis,957,957,915,42,wikipedia_edits_cumulative,2014-03-01,2014-05-03
18,NeNe Leakes,NeNe Leakes,632,632,578,54,wikipedia_edits_cumulative,2014-03-01,2014-05-03
18,Sean Avery,Sean Avery,3056,3056,3034,22,wikipedia_edits_cumulative,2014-03-01,2014-05-03
19,Alfonso Ribeiro,Alfonso Ribeiro,1690,1690,1623,67,wikipedia_edits_cumulative,2014-09-01,2014-11-10
19,Antonio Sabato Jr.,Antonio Sabàto Jr.,584,584,567,17,wikipedia_edits_cumulative,2014-09-01,2014-11-10
19,Bethany Mota,Bethany Mota,395,395,241,154,wikipedia_edits_cumulative,2014-09-01,2014-11-10
19,Betsey Johnson,Betsey Johnson,434,434,423,11,wikipedia_edits_cumulative,2014-09-01,2014-11-10
19,Janel Parrish,Janel Parrish,645,645,590,55,wikipedia_edits_cumulative,2014-09-01,2014-11-10
19,Jonathan Bennett,Jonathan Bennett (actor),670,670,624,46,wikipedia_edits_cumulative,2014-09-01,2014-11-10
19,Lea Thompson,Lea Thompson,674,674,639,35,wikipedia_edits_cumulative,2014-09-01,2014-11-10
19,Lolo Jones,Lolo Jones,783,783,771,12,wikipedia_edits_cumulative,2014-09-01,2014-11-10
19,Michael Waltrip,Michael Waltrip,1160,1160,1074,86,wikipedia_edits_cumulative,2014-09-01,2014-11-10
19,Randy Couture,Randy Couture,4243,4243,4225,18,wikipedia_edits_cumulative,2014-09-01,2014-11-10
19,Sadie Robertson,Sadie Robertson,163,163,103,60,wikipedia_edits_cumulative,2014-09-01,2014-11-10
19,Tavis Smiley,Tavis Smiley,584,584,557,27,wikipedia_edits_cumulative,2014-09-01,2014-11-10
