model,fold,season,n_items,nll,nll_per_item,spearman,kendall_tau,top1,top3_overlap
baseline_plus_state,3,2,10,15.918270134613312,1.5918270134613313,-0.3525852153344375,-0.26967994498529685,0,0
baseline_plus_state,3,10,11,17.51967573571708,1.5926977941560982,0.29090909090909095,0.2,0,1
baseline_plus_state,3,15,13,21.331702786359845,1.6409002143353726,0.3626373626373626,0.2564102564102564,0,1
baseline_plus_state,3,17,12,18.799460858743398,1.5666217382286165,0.5174825174825176,0.3333333333333333,0,1
baseline_plus_state,3,18,12,19.20644033908651,1.6005366949238757,0.37762237762237766,0.30303030303030304,0,0
baseline_plus_state,3,26,10,14.81118617586016,1.481118617586016,0.33333333333333326,0.2,0,1
baseline_plus_state,3,31,16,29.261424256658707,1.8288390160411692,0.3735294117647059,0.2666666666666666,1,1
baseline_plus_state,4,5,12,19.259752128060295,1.6049793440050246,0.30069930069930073,0.21212121212121213,0,1
baseline_plus_state,4,6,12,19.708743483363367,1.6423952902802805,0.2237762237762238,0.09090909090909091,0,0
baseline_plus_state,4,12,11,19.38271066311067,1.7620646057373337,-0.009090909090909092,0.05454545454545454,0,1
baseline_plus_state,4,19,13,24.32392320141129,1.8710710154931762,0.07692307692307693,0.05128205128205128,0,1
baseline_plus_state,4,25,13,20.895658832282173,1.6073583717140134,0.6134806353870134,0.5032362797401965,1,1
baseline_plus_state,4,28,12,18.316810573329867,1.5264008811108223,0.6713286713286714,0.42424242424242425,0,1
baseline_plus_state,4,29,15,26.384894008011496,1.758992933867433,0.6178571428571428,0.48571428571428577,0,0
baseline_plus_state,5,8,13,21.434948799181292,1.6488422153216378,0.5494505494505495,0.38461538461538464,1,1
baseline_plus_state,5,16,12,18.296139031752514,1.5246782526460427,0.7272727272727274,0.5757575757575758,0,1
baseline_plus_state,5,22,12,19.927058424489374,1.6605882020407812,0.1258741258741259,0.12121212121212122,0,1
baseline_plus_state,5,23,13,22.671495074913082,1.7439611596086986,0.4395604395604396,0.38461538461538464,0,1
baseline_plus_state,5,32,14,25.03655032014091,1.7883250228672078,0.31868131868131866,0.2087912087912088,0,0
baseline_plus_state,5,33,13,21.640028367198607,1.664617566707585,0.3305797667903452,0.25976216673306557,0,1
baseline_plus_country,1,3,11,17.04008875591882,1.5490989778108017,0.38181818181818183,0.23636363636363636,0,1
baseline_plus_country,1,4,11,16.692746464918642,1.5175224059016947,0.4818181818181818,0.45454545454545453,0,1
baseline_plus_country,1,7,13,22.900608210355994,1.7615852469504611,0.1098901098901099,0.05128205128205128,0,1
baseline_plus_country,1,11,12,18.80403280606707,1.5670027338389225,0.4615384615384616,0.3333333333333333,0,1
baseline_plus_country,1,13,12,20.21908068671708,1.6849233905597567,0.11908949961751886,0.10687334289668039,0,1
baseline_plus_country,1,21,13,20.653396775715112,1.5887228289011626,0.6483516483516484,0.48717948717948717,0,1
baseline_plus_country,1,27,13,22.82140438580834,1.75549264506218,0.2197802197802198,0.1794871794871795,0,1
baseline_plus_country,2,1,6,6.652791130330831,1.1087985217218053,0.14285714285714285,0.06666666666666667,1,1
baseline_plus_country,2,9,16,30.718883819461325,1.9199302387163328,0.18837385526568326,0.15899720766358738,0,1
baseline_plus_country,2,14,12,18.884503665126758,1.5737086387605632,0.4685314685314686,0.3333333333333333,0,1
